fips,slaves,urbanicity,prison_rate,blackpop,prison_type,unemp,mhi,pm,rentburd,gini,singpar
21101,40.436123965783196,small/mid,1092.4,8.455268256831697,No Prison,4.8,45718,11.193751287975095,30.3,43.7,9.157225752970435
21103,27.709431751611014,suburban,510.51,2.7027027027027026,No Prison,4.7,47802,10.604327671052632,30.5,42.9,9.034907597535934
21105,17.822488584474886,rural,1329.02,10.416666666666668,No Prison,6.1,40890,9.933802,26,45.7,7.815356489945155
21107,16.917894736842104,rural,702.77,7.173654727550501,No Prison,5.7,44750,10.361110971679,27.1,47.8,8.57066950053135
21109,0.22675736961451248,rural,628.64,0.32003657560864096,No Prison,8.9,30565,9.588758458256029,30,46.7,7.838703599020162
21111,11.525211399937362,urban,677.86,21.967444677455312,No Prison,4.8,51230,12.149256036949351,29,46.6,10.54485526737558
21113,39.070258848388804,small/mid,585.17,4.078647082918837,No Prison,4.2,49839,10.523231807227676,29.9,43.8,9.288238263503281
21115,0.5088578967206936,rural,680.45,0.6137424949966644,No Prison,8.8,36051,9.620369930673979,31.4,50.4,8.008348895968362
21117,2.226410649075274,suburban,803.39,5.05458105721632,No Prison,4.4,52631,11.867027631898502,27.6,43.1,9.281003970123141
21121,6.344881276761385,rural,1028.72,1.5704204353443991,No Prison,8.2,28578,9.844905872937192,31.9,49.6,9.600515463917526
21123,13.060513713539398,small/mid,536.63,3.559303471689848,No Prison,5.1,40202,10.295522360282186,31.6,43,8.151658767772512
21125,3.389212827988338,rural,967.91,0.8074375955170657,No Prison,6.3,37737,9.96740354186548,28.8,46.8,8.421362944037734
21127,1.9207998947506906,rural,730.94,0.5630185697352825,No Prison,9.6,36276,9.811330251431809,30.6,49.7,7.423580786026202
